nombre,apellido,cargo,foto_url,wikidata_id,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,fuente_url,fuente_nombre,ministerio
Hilda,Aguirre,diputado,https://parlamentaria.hcdn.gob.ar/image/27139186244_20231130154914000_small.png,,La Rioja,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Guillermo César,Agüero,diputado,https://parlamentaria.hcdn.gob.ar/image/20219307757_20251127110110000_small.png,,Chaco,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sabrina,Ajmechet,diputado,https://parlamentaria.hcdn.gob.ar/image/27290423894_20251205090952000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
"Ernesto ""Pipi""",Alí,diputado,https://parlamentaria.hcdn.gob.ar/image/20223799281_20240129144903000_small.png,,San Luis,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2024-01-31,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos Alberto,Almena,diputado,https://parlamentaria.hcdn.gob.ar/image/20200592167_20251204134624000_small.png,,San Luis,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lisandro,Almirón,diputado,https://parlamentaria.hcdn.gob.ar/image/23233977519_20231128110506000_small.png,,Corrientes,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Claudio,Álvarez,diputado,https://parlamentaria.hcdn.gob.ar/image/20254305759_20251127110943000_small.png,,San Luis,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Cristian,Andino,diputado,https://parlamentaria.hcdn.gob.ar/image/20233803252_20251202134006000_small.png,,San Juan,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Javier,Andrade,diputado,https://parlamentaria.hcdn.gob.ar/image/20205726838_20251202084506000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Barbara,Andreussi,diputado,https://parlamentaria.hcdn.gob.ar/image/27178894590_20251125093245000_small.png,,Jujuy,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pablo,Ansaloni,diputado,https://parlamentaria.hcdn.gob.ar/image/20220776795_20231218133633000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Damián,Arabia,diputado,https://parlamentaria.hcdn.gob.ar/image/20357318158_20231128095338000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge Neri,Araujo Hernández,diputado,https://parlamentaria.hcdn.gob.ar/image/20229561481_20231128110329000_small.png,,Tierra del Fuego,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Martín,Ardohain,diputado,https://parlamentaria.hcdn.gob.ar/image/23202055869_20231218135501000_small.png,,La Pampa,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lourdes Micaela,Arrieta,diputado,https://parlamentaria.hcdn.gob.ar/image/27372984177_20240522103948000_small.png,,Mendoza,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alberto,Arrúa,diputado,https://parlamentaria.hcdn.gob.ar/image/20245738723_20231128100717000_small.png,,Misiones,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Martín,Aveiro,diputado,https://parlamentaria.hcdn.gob.ar/image/20241811612_20231218133854000_small.png,,Mendoza,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Belén,Avico,diputado,https://parlamentaria.hcdn.gob.ar/image/27275988877_20231218134025000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge Antonio,Avila,diputado,https://parlamentaria.hcdn.gob.ar/image/20174462144_20231205093948000_small.png,,Chubut,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Fernanda,Avila,diputado,https://parlamentaria.hcdn.gob.ar/image/27324151031_20231128100116000_small.png,,Catamarca,ELIJO CATAMARCA,ELIJO CATAMARCA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Karina,Banfi,diputado,https://parlamentaria.hcdn.gob.ar/image/27225074467_20231215100135000_small.png,,Buenos Aires,ADELANTE BUENOS AIRES,ADELANTE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Marcelo,Barbur,diputado,https://parlamentaria.hcdn.gob.ar/image/20184725976_20251127111243000_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Luis Eugenio,Basterra,diputado,https://parlamentaria.hcdn.gob.ar/image/23124773849_20231218134240000_small.png,,Formosa,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Atilio,Basualdo,diputado,https://parlamentaria.hcdn.gob.ar/image/20147385375_20251216131254000_small.png,,Formosa,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-17,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carolina,Basualdo,diputado,https://parlamentaria.hcdn.gob.ar/image/27264849638_20251203092410000_small.png,,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Mónica,Becerra,diputado,https://parlamentaria.hcdn.gob.ar/image/27239991810_20251127111527000_small.png,,San Luis,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Beltrán,Benedit,diputado,https://parlamentaria.hcdn.gob.ar/image/20131823666_20231207102136000_small.png,,Entre Rios,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Bertie,Benegas Lynch,diputado,https://parlamentaria.hcdn.gob.ar/image/20186213476_20231218134617000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Emmanuel,Bianchetti,diputado,https://parlamentaria.hcdn.gob.ar/image/20290353123_20241015130737000_small.png,,Misiones,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Bernardo,Biella,diputado,https://parlamentaria.hcdn.gob.ar/image/20162915119_20251204135134000_small.png,,Salta,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Rocío,Bonacci,diputado,https://parlamentaria.hcdn.gob.ar/image/27396592881_20231128103306000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alejandro,Bongiovanni,diputado,https://parlamentaria.hcdn.gob.ar/image/20301123990_20231128103659000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gustavo,Bordet,diputado,https://parlamentaria.hcdn.gob.ar/image/20149980548_20231128110939000_small.png,,Entre Rios,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alejandrina,Borgatta,diputado,https://parlamentaria.hcdn.gob.ar/image/27307017496_20251201094658000_small.png,,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gabriel,Bornoroni,diputado,https://parlamentaria.hcdn.gob.ar/image/20266723181_20231129150958000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Myriam,Bregman,diputado,https://parlamentaria.hcdn.gob.ar/image/27226005531_20251127152919000_small.png,,Ciudad de Buenos Aires,PTS-FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,PTS-FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Adrián,Brizuela,diputado,https://parlamentaria.hcdn.gob.ar/image/20229354036_20251127111925000_small.png,,Catamarca,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
