nombre,apellido,cargo,provincia,bloque,mandato,foto_url,wikidata_id,fuente_url,fuente_nombre
Martín,Menem,diputado,,,,,Q123170442,https://www.wikidata.org/wiki/Q123170442,"Wikidata (posicion Q18229570, sin fecha de fin)"
Diego,Giuliano,diputado,Provincia de Santa Fe,,,,Q115358814,https://www.wikidata.org/wiki/Q115358814,"Wikidata (posicion Q18229570, sin fecha de fin)"
Carlos,García,diputado,Provincia de Chaco,,,,Q125838765,https://www.wikidata.org/wiki/Q125838765,"Wikidata (posicion Q18229570, sin fecha de fin)"
Santiago,Pauli,diputado,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",,,,Q125761184,https://www.wikidata.org/wiki/Q125761184,"Wikidata (posicion Q18229570, sin fecha de fin)"
Gabriel,Bornoroni,diputado,Provincia de Córdoba,,,,Q125385980,https://www.wikidata.org/wiki/Q125385980,"Wikidata (posicion Q18229570, sin fecha de fin)"
María,Cecilia Ibáñez,diputado,Provincia de Córdoba,,,,Q125388552,https://www.wikidata.org/wiki/Q125388552,"Wikidata (posicion Q18229570, sin fecha de fin)"
Lisandro,Almirón,diputado,Provincia de Corrientes,,,,Q125396636,https://www.wikidata.org/wiki/Q125396636,"Wikidata (posicion Q18229570, sin fecha de fin)"
Alfredo,Vallejos,diputado,Provincia de Corrientes,,,,Q125407582,https://www.wikidata.org/wiki/Q125407582,"Wikidata (posicion Q18229570, sin fecha de fin)"
Christian,Zulli,diputado,Provincia de Corrientes,,,,Q125415041,https://www.wikidata.org/wiki/Q125415041,"Wikidata (posicion Q18229570, sin fecha de fin)"
Luis,Picat,diputado,Provincia de Córdoba,,,,Q108791277,https://www.wikidata.org/wiki/Q108791277,"Wikidata (posicion Q18229570, sin fecha de fin)"
Beltrán,Benedit,diputado,Provincia de Entre Ríos,,,,Q125427686,https://www.wikidata.org/wiki/Q125427686,"Wikidata (posicion Q18229570, sin fecha de fin)"
Mariano,Campero,diputado,Provincia de Tucumán,,,,Q125761085,https://www.wikidata.org/wiki/Q125761085,"Wikidata (posicion Q18229570, sin fecha de fin)"
Victoria,Tolosa Paz,diputado,Provincia de Buenos Aires,,,,Q107209202,https://www.wikidata.org/wiki/Q107209202,"Wikidata (posicion Q18229570, sin fecha de fin)"
Nicolás,María Massot,diputado,Provincia de Buenos Aires,,,,Q21856190,https://www.wikidata.org/wiki/Q21856190,"Wikidata (posicion Q18229570, sin fecha de fin)"
Alejandra,Torres,diputado,Provincia de Córdoba,,,,Q126283601,https://www.wikidata.org/wiki/Q126283601,"Wikidata (posicion Q18229570, sin fecha de fin)"
Gabi,Muñoz,diputado,,,,,Q138104532,https://www.wikidata.org/wiki/Q138104532,"Wikidata (posicion Q18229570, sin fecha de fin)"
Lilia,Lemoine,diputado,Provincia de Buenos Aires,,,,Q123162003,https://www.wikidata.org/wiki/Q123162003,"Wikidata (posicion Q18229570, sin fecha de fin)"
Marcela,Pagano,diputado,Provincia de Buenos Aires,,,,Q123169195,https://www.wikidata.org/wiki/Q123169195,"Wikidata (posicion Q18229570, sin fecha de fin)"
Martín,Yeza,diputado,Provincia de Buenos Aires,,,,Q123175723,https://www.wikidata.org/wiki/Q123175723,"Wikidata (posicion Q18229570, sin fecha de fin)"
Damián,Arabia,diputado,Buenos Aires,,,,Q124473730,https://www.wikidata.org/wiki/Q124473730,"Wikidata (posicion Q18229570, sin fecha de fin)"
María,Fernanda Araujo,diputado,Buenos Aires,,,,Q124516432,https://www.wikidata.org/wiki/Q124516432,"Wikidata (posicion Q18229570, sin fecha de fin)"
Mariela,Coletta,diputado,Buenos Aires,,,,Q124527475,https://www.wikidata.org/wiki/Q124527475,"Wikidata (posicion Q18229570, sin fecha de fin)"
Nicolás,Emma,diputado,Buenos Aires,,,,Q124527724,https://www.wikidata.org/wiki/Q124527724,"Wikidata (posicion Q18229570, sin fecha de fin)"
Daiana,Fernández Molero,diputado,Buenos Aires,,,,Q124539719,https://www.wikidata.org/wiki/Q124539719,"Wikidata (posicion Q18229570, sin fecha de fin)"
Alida,Ferreyra,diputado,Buenos Aires,,,,Q124539762,https://www.wikidata.org/wiki/Q124539762,"Wikidata (posicion Q18229570, sin fecha de fin)"
Adrián,Ravier,diputado,Provincia de Tucumán,,,,Q79881920,https://www.wikidata.org/wiki/Q79881920,"Wikidata (posicion Q18229570, sin fecha de fin)"
José,Federico Tournier,diputado,Provincia de Corrientes,,,,Q131142175,https://www.wikidata.org/wiki/Q131142175,"Wikidata (posicion Q18229570, sin fecha de fin)"
Nancy,Ballejos,diputado,Provincia de Entre Ríos,,,,Q131142216,https://www.wikidata.org/wiki/Q131142216,"Wikidata (posicion Q18229570, sin fecha de fin)"
Francisco,Morchio,diputado,Provincia de Entre Ríos,,,,Q131149087,https://www.wikidata.org/wiki/Q131149087,"Wikidata (posicion Q18229570, sin fecha de fin)"
Maria,Celeste Ponce,diputado,Provincia de Córdoba,,,,Q124351733,https://www.wikidata.org/wiki/Q124351733,"Wikidata (posicion Q18229570, sin fecha de fin)"
Luciana,Potenza,diputado,Provincia de Buenos Aires,,,,Q124438131,https://www.wikidata.org/wiki/Q124438131,"Wikidata (posicion Q18229570, sin fecha de fin)"
Sabrina,Selva,diputado,Provincia de Buenos Aires,,,,Q124457261,https://www.wikidata.org/wiki/Q124457261,"Wikidata (posicion Q18229570, sin fecha de fin)"
Julia,Strada,diputado,Provincia de Buenos Aires,,,,Q124457466,https://www.wikidata.org/wiki/Q124457466,"Wikidata (posicion Q18229570, sin fecha de fin)"
Patricia,Vásquez,diputado,Provincia de Buenos Aires,,,,Q124464496,https://www.wikidata.org/wiki/Q124464496,"Wikidata (posicion Q18229570, sin fecha de fin)"
Fernanda,Ávila,diputado,Provincia de Catamarca,,,,Q124540015,https://www.wikidata.org/wiki/Q124540015,"Wikidata (posicion Q18229570, sin fecha de fin)"
Sebastián,Nóblega,diputado,Provincia de Catamarca,,,,Q124547363,https://www.wikidata.org/wiki/Q124547363,"Wikidata (posicion Q18229570, sin fecha de fin)"
Jorge,Antonio Avila,diputado,Provincia de Chubut,,,,Q124571320,https://www.wikidata.org/wiki/Q124571320,"Wikidata (posicion Q18229570, sin fecha de fin)"
Bartolomé,Abdala,senador,,,,,Q123786449,https://www.wikidata.org/wiki/Q123786449,"Wikidata (posicion Q18711738, sin fecha de fin)"
Eduardo,de Pedro,senador,Provincia de Buenos Aires,,,,Q12164058,https://www.wikidata.org/wiki/Q12164058,"Wikidata (posicion Q18711738, sin fecha de fin)"
Francisco,Paoltroni,senador,Provincia de Formosa,,,,Q123575779,https://www.wikidata.org/wiki/Q123575779,"Wikidata (posicion Q18711738, sin fecha de fin)"
José,Miguel Ángel Mayans,senador,Provincia de Formosa,,,,Q6293394,https://www.wikidata.org/wiki/Q6293394,"Wikidata (posicion Q18711738, sin fecha de fin)"
Stefanía,Cora,senador,Provincia de Entre Ríos,,,,Q131434489,https://www.wikidata.org/wiki/Q131434489,"Wikidata (posicion Q18711738, sin fecha de fin)"
