nombre,apellido,cargo,provincia,bloque,mandato,foto_url,wikidata_id,fuente_url,fuente_nombre
La,Libertad Avanza,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
AlbertoBenegas,Lynch,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Lilia,AdelaBolukalo Lemoine,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Unión,por la Patria,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Carlos,DanielCastagneto,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,FlorenciaDe Sensi,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Nicolásdel,Caño,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
RominaDel,Plá,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Movimiento,de Integración y Desarrollo,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Coalición,Cívica,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,TeresaGarcía,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,LuisaGonzález Estevarena,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Máximo,CarlosKirchner,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Johanna,SabrinaLongo,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,JimenaLópez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Encuentro,Federal,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Guillermo,MaximilianoMontenegro,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Hugo,AntonioMoyano,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Marcela,MarinaPagano,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Sergio,OmarPalazzo,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,LorenaPetrovich,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Miguel,ÁngelPichetto,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
HoracioPietragalla,Corti,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Agustina,LucreciaPropato,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Cristian,AdriánRitondo,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Marina,DoroteaSalzmann,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
JavierSánchez,Wrba,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
JulianaSantillán,Juárez Brahim,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Vanesa,RaquelSiley,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
VictoriaTolosa,Paz,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Rubén,DaríoTorres,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Nicolás,AlfredoTrotta,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Patricia,MaríaVásquez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Maria,ElenaVelázquez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Andrea,FernandaVera,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Fernandode,Andreis,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
